INSTANCE_NAME.Tablespace.    Size (MB).    Free (MB).Free Pct.REP_DATE
ESV1T.SYSAUX.6350.330.5,2.2020-04-29
ESV1T.UNDOTBS1.24790.24339.98,18.2020-04-29
ESV1T.USERS_TIV.20.19.95.2020-04-29
ESV1T.SYSTEM.2000.247.12,36.2020-04-29
ESV1T.EISDBA.1800.171.9,54.2020-04-29
ESV1T.USERS.163840.41434.25,29.2020-04-29
ESV1P.SYSAUX.4000.299.7,49.2020-04-29
ESV1P.UNDOTBS1.106496.17473.16,41.2020-04-29
ESV1P.EISDBA.1200.100.8,38.2020-04-29
ESV1P.SYSTEM.2048.557.27,21.2020-04-29
ESV1P.USERS.500800.17512.3,5.2020-04-29
TIXDS10.SYSAUX.940.63.6,71.2020-04-29
TIXDS10.UNDOTBS1.1070.1036.96,86.2020-04-29
TIXDS10.ECR_DATA.500.366.73,26.2020-04-29
TIXDS10.SYSTEM.1500.304.20,3.2020-04-29
TIXDS10.ECR_INDEX.500.124.24,91.2020-04-29
TIXDS10.USERS.5.4.80.2020-04-29
PIXDS10.SYSAUX.980.79.8,09.2020-04-29
PIXDS10.UNDOTBS1.1260.1206.95,74.2020-04-29
PIXDS10.ECR_DATA.65534,98.8510.12,99.2020-04-29
PIXDS10.SYSTEM.2048.771.37,66.2020-04-29
PIXDS10.ECR_INDEX.178835,98.19029.10,64.2020-04-29
PIXDS10.USERS.5.4.80.2020-04-29
ESVSMMQ1.DOM1_DOCARCHIVE_BIN_DATA.100.99.99.2020-04-29
ESVSMMQ1.USERS_TIV.20.19.95.2020-04-29
ESVSMMQ1.SYSAUX.4500.2411.53,59.2020-04-29
ESVSMMQ1.UNDOTBS1.46144.40114.86,93.2020-04-29
ESVSMMQ1.DOM1_ACC_INDX.100.99.99.2020-04-29
ESVSMMQ1.DOM1_DATA_CLOB.100.91.91,69.2020-04-29
ESVSMMQ1.DBSPI_USERS.512.511.99,8.2020-04-29
ESVSMMQ1.DOM1_DATA.1945900,97.79768.4,1.2020-04-29
ESVSMMQ1.DOM1_TIMESERIES_BINDATA.146172.10230.7.2020-04-29
ESVSMMQ1.USERS.5.3.73,75.2020-04-29
ESVSMMQ1.DOM1_TIMESERIES_DATA.200.15.7,5.2020-04-29
ESVSMMQ1.SYSTEM.1200.206.17,22.2020-04-29
ESVSMMQ1.DOM1_IMPORT_DATA.100.99.99.2020-04-29
ESVSMMQ1.DOM1_TIMESERIES_INDX.94692.11610.12,26.2020-04-29
ESVSMMQ1.EISDBA.1500.89.5,96.2020-04-29
ESVSMMQ1.DOM1_EVENT_DATA.100.49.49.2020-04-29
ESVSMMQ1.USR.100.99.99.2020-04-29
